Product type,SKU,Supplier name,Location,Customer demographics,Customer segment,Transportation modes,Routes,Price,Availability,Number of products sold,Revenue generated,Manufacturing costs,Costs,Profit margin,Order quantities,Lead time,Order date,Shipping date,Delivery date,Shipping times,Defect rates,Inspection results,Manufacturing lead time,Production volumes,Stock levels,Transportation costs
Healthcare,SKU0032,Supplier A,Chennai,Male,D2C,Rail,Route A,59.31,348,270,16013.7,31.95,8626.5,46.13,171,11,2023-08-17,2023-08-19,2023-08-30,11,0.078,Pass,13,3544,348,120.2
Healthcare,SKU0030,Supplier A,Delhi,Female,D2C,Rail,Route A,92.16,151,130,11980.8,54.26,7053.8,41.12,463,22,2024-06-01,2024-06-06,2024-06-28,22,0.0056,Pass,3,4655,151,145.55
Skincare,SKU0001,Supplier E,Chennai,Non-binary,B2B,Air,Route B,93.69,252,235,22017.15,51.04,11994.4,45.52,219,25,2023-06-13,2023-06-17,2023-07-12,25,0.0291,Pass,18,1906,252,71.0
Healthcare,SKU0013,Supplier A,Pune,Male,D2C,Rail,Route C,71.13,174,50,3556.5,38.19,1909.5,46.31,180,12,2024-01-03,2024-01-06,2024-01-18,12,0.0514,Pass,9,2988,174,436.97
Healthcare,SKU0071,Supplier D,Mumbai,Female,D2C,Road,Route A,14.43,387,88,1269.84,6.55,576.4,54.61,395,28,2023-10-28,2023-11-02,2023-11-30,28,0.0563,Pass,17,1578,387,93.95
Beauty,SKU0030,Supplier C,Mumbai,Unknown,D2C,Sea,Route A,93.45,263,34,3177.3,34.85,1184.9,62.71,437,14,2023-04-14,2023-04-18,2023-05-02,14,0.0391,Pass,8,2713,263,190.27
Haircare,SKU0086,Supplier C,Delhi,Female,B2B,Rail,Route B,84.27,309,190,16011.3,56.95,10820.5,32.42,495,18,2023-10-01,2023-10-02,2023-10-20,18,0.0775,Pass,18,3442,309,467.0
Haircare,SKU0088,Supplier E,Delhi,Male,B2C,Rail,Route B,17.83,214,189,3369.87,10.68,2018.52,40.1,416,8,2023-11-29,2023-11-30,2023-12-08,8,0.0845,Pass,15,2162,214,422.93
Healthcare,SKU0028,Supplier B,Hyderabad,Female,B2C,Air,Route A,28.96,344,8,231.68,12.09,96.72,58.25,112,24,2024-05-26,2024-05-30,2024-06-23,24,0.0395,Fail,19,491,344,416.96
Cosmetics,SKU0096,Supplier E,Chennai,Non-binary,B2B,Air,Route C,110.71,288,260,28784.6,38.34,9968.4,65.37,184,10,2024-03-14,2024-03-19,2024-03-29,10,0.0358,Fail,14,3204,288,432.52
